Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides MS3	Razor + unique peptides MS3	Unique peptides MS3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 0	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity 0	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity count 0	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity corrected 0 MS3	Reporter intensity corrected 1 MS3	Reporter intensity corrected 2 MS3	Reporter intensity corrected 3 MS3	Reporter intensity corrected 4 MS3	Reporter intensity corrected 5 MS3	Reporter intensity corrected 6 MS3	Reporter intensity corrected 7 MS3	Reporter intensity corrected 8 MS3	Reporter intensity corrected 9 MS3	Reporter intensity 0 MS3	Reporter intensity 1 MS3	Reporter intensity 2 MS3	Reporter intensity 3 MS3	Reporter intensity 4 MS3	Reporter intensity 5 MS3	Reporter intensity 6 MS3	Reporter intensity 7 MS3	Reporter intensity 8 MS3	Reporter intensity 9 MS3	Reporter intensity count 0 MS3	Reporter intensity count 1 MS3	Reporter intensity count 2 MS3	Reporter intensity count 3 MS3	Reporter intensity count 4 MS3	Reporter intensity count 5 MS3	Reporter intensity count 6 MS3	Reporter intensity count 7 MS3	Reporter intensity count 8 MS3	Reporter intensity count 9 MS3	Sequence coverage MS3 [%]	Intensity	Intensity MS3	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
P0A959	P0A959	14	14	14	Glutamate-pyruvate aminotransferase AlaA	alaA		1	14	14	14	14	14	14	37	37	37	45.517	405	405	0	31.984	67756	68500	65038	74017	75725	62560	75252	73007	65922	73857	64103	64741	65776	75477	76199	63488	76367	75052	65441	71235	16	17	17	17	17	17	17	17	17	17	67756	68500	65038	74017	75725	62560	75252	73007	65922	73857	64103	64741	65776	75477	76199	63488	76367	75052	65441	71235	16	17	17	17	17	17	17	17	17	17	37	968050000	968050000	17				501	955;1898;4149;5232;5589;6209;6854;9265;11281;11728;12581;13270;13367;15974	True;True;True;True;True;True;True;True;True;True;True;True;True;True	1062;2135;4608;4609;5823;6221;6222;6895;7626;10269;12719;12720;13230;14172;14938;15043;17940	1627;3270;6906;6907;8616;9169;9170;10150;11204;14909;18404;18405;19229;20527;21574;21722;25859	1868;3772;7901;7902;9860;10470;10471;11584;12793;17005;20955;20956;21924;23379;24575;24752;29381	1868;3772;7901;9860;10471;11584;12793;17005;20955;21924;23379;24575;24752;29381	901;902;903;904	191;274;334;351
P0A962	P0A962	6	6	6	L-asparaginase 1	ansA		1	6	6	6	6	6	6	17.8	17.8	17.8	37.127	338	338	0	20.678	7205.3	6996.9	6058.9	6523.4	8400.2	6275.7	7128.8	7662.3	6597.4	6242.2	6813.8	6607.1	6193.1	6723	8367.9	6330.6	7303	7820.2	6532.2	6055.1	6	6	6	6	6	6	6	6	6	6	7205.3	6996.9	6058.9	6523.4	8400.2	6275.7	7128.8	7662.3	6597.4	6242.2	6813.8	6607.1	6193.1	6723	8367.9	6330.6	7303	7820.2	6532.2	6055.1	6	6	6	6	6	6	6	6	6	6	17.8	176440000	176440000	6				502	605;1333;9589;9590;13813;14612	True;True;True;True;True;True	674;1501;10621;10622;15525;16423	1028;2314;15380;15381;22369;23724	1186;2685;17538;17539;25461;27003	1186;2685;17538;17539;25461;27003		
P0A972	P0A972	4	4	4	Cold shock-like protein CspE	cspE		1	4	4	4	4	4	4	56.5	56.5	56.5	7.4634	69	69	0	14.658	59482	77721	56362	61313	81783	59978	64619	68347	65176	58800	56273	73326	57211	63934	81251	60395	66616	70004	64285	56949	10	10	10	10	10	10	10	10	10	10	59482	77721	56362	61313	81783	59978	64619	68347	65176	58800	56273	73326	57211	63934	81251	60395	66616	70004	64285	56949	10	10	10	10	10	10	10	10	10	10	56.5	7200800000	7200800000	10				503	5933;6492;15189;16085	True;True;True;True	6599;7232;17062;18065	9701;9702;9703;9704;10620;10621;24627;26032;26033	11079;11080;11081;11082;12133;12134;12135;28015;29569;29570	11082;12133;28015;29569		
P0A988	P0A988	9	9	9	DNA polymerase III subunit beta	dnaN		1	9	9	9	9	9	9	28.7	28.7	28.7	40.586	366	366	0	36.878	116450	122430	107900	120050	147010	101420	128970	129460	114280	114070	110160	115640	109590	123110	146610	103060	131750	132210	113370	110410	17	17	17	17	17	17	17	17	16	17	116450	122430	107900	120050	147010	101420	128970	129460	114280	114070	110160	115640	109590	123110	146610	103060	131750	132210	113370	110410	17	17	17	17	17	17	17	17	16	17	28.7	1517000000	1517000000	17				504	132;855;6324;7086;9639;10751;11002;15881;16905	True;True;True;True;True;True;True;True;True	152;953;7024;7891;10674;10675;11896;12302;17832;18984	254;255;256;1461;1462;10321;10322;11554;15447;15448;17094;17761;25709;27342;27343	302;303;304;1684;1685;1686;11783;11784;13226;17618;17619;19471;20236;29217;31018;31019;31020	302;1685;11783;13226;17619;19471;20236;29217;31018	905	146
P0A991	P0A991	17	17	17	Fructose-bisphosphate aldolase class 1	fbaB		1	17	17	17	17	17	17	44.9	44.9	44.9	38.109	350	350	0	75.461	156230	167860	138230	163940	180060	147260	165930	166700	158600	175180	147760	158550	140710	168300	180050	148920	169380	171730	156800	168810	30	31	30	31	31	30	31	30	30	31	156230	167860	138230	163940	180060	147260	165930	166700	158600	175180	147760	158550	140710	168300	180050	148920	169380	171730	156800	168810	30	31	30	31	31	30	31	30	30	31	44.9	10142000000	10142000000	31				505	709;742;967;968;2180;2261;10494;10763;11226;11766;12598;13156;13471;14188;14787;16711;17988	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	788;789;823;1076;1077;2444;2531;11619;11914;11915;12636;13279;13280;14192;14818;15155;15938;16612;18756;18757;20194	1214;1215;1261;1262;1644;1645;1646;3724;3725;3726;3854;3855;16724;17138;17139;17140;18266;19317;19318;19319;20558;21405;21871;22970;23992;27012;27013;29032	1416;1417;1466;1467;1888;1889;1890;1891;4284;4285;4286;4287;4436;4437;4438;19053;19529;19530;19531;20800;22028;22029;22030;23416;24365;24915;26147;27309;30658;30659;32958	1416;1467;1890;1891;4285;4438;19053;19531;20800;22029;23416;24365;24915;26147;27309;30659;32958	906;907;908;909;910;911	21;40;53;240;281;315
P0A993	P0A993	11	11	11	Fructose-1,6-bisphosphatase class 1	fbp		1	11	11	11	11	11	11	46.1	46.1	46.1	36.833	332	332	0	110.97	102600	102640	96280	103150	124500	86402	114650	113310	98676	101350	97063	96959	97639	105610	124520	87881	116740	115670	98041	98053	24	24	24	24	24	24	24	24	24	24	102600	102640	96280	103150	124500	86402	114650	113310	98676	101350	97063	96959	97639	105610	124520	87881	116740	115670	98041	98053	24	24	24	24	24	24	24	24	24	24	46.1	6722300000	6722300000	24				506	754;2789;4868;6030;7900;9119;9931;13554;13846;17101;17807	True;True;True;True;True;True;True;True;True;True;True	838;3106;5411;6703;8801;10112;10984;10985;15241;15561;15562;19197;19983	1279;4711;4712;8047;8048;8049;9855;9856;12889;14708;14709;15849;15850;15851;15852;15853;21981;22416;22417;22418;22419;27624;28717	1484;5415;5416;9213;9214;9215;11255;11256;14778;16783;16784;18070;18071;18072;18073;18074;25040;25512;25513;25514;25515;31326;32602;32603	1484;5416;9213;11255;14778;16784;18070;25040;25515;31326;32602	912;913	279;318
P0A996	P0A996	10	10	10	Anaerobic glycerol-3-phosphate dehydrogenase subunit C	glpC		1	10	10	10	10	10	10	31.1	31.1	31.1	44.108	396	396	0	49.807	43887	42508	39055	43247	46571	39549	45567	45066	42401	45531	41510	40160	39694	44300	46799	39962	46344	46363	41971	43916	11	11	11	11	11	11	11	11	11	11	43887	42508	39055	43247	46571	39549	45567	45066	42401	45531	41510	40160	39694	44300	46799	39962	46344	46363	41971	43916	11	11	11	11	11	11	11	11	11	11	31.1	357020000	357020000	11				507	2573;3067;8556;12599;12710;13168;14513;16594;16797;18026	True;True;True;True;True;True;True;True;True;True	2870;3416;9516;14193;14312;14830;16310;18626;18867;20240	4373;5148;13895;13896;20559;20720;21422;23544;26833;27175;29091	5026;5893;15896;15897;23417;23593;24386;26791;30461;30834;33023	5026;5893;15896;23417;23593;24386;26791;30461;30834;33023		
P0A998	P0A998	6	6	6	Bacterial non-heme ferritin	ftnA		1	6	6	6	6	6	6	31.5	31.5	31.5	19.424	165	165	0	33.085	18679	22578	16832	19735	25567	17785	23003	22480	20183	17365	17668	21312	17157	20405	25391	18005	23461	22890	20034	16872	10	10	10	10	10	10	10	10	10	10	18679	22578	16832	19735	25567	17785	23003	22480	20183	17365	17668	21312	17157	20405	25391	18005	23461	22890	20034	16872	10	10	10	10	10	10	10	10	10	10	31.5	967720000	967720000	10				508	4203;6922;9318;11029;13904;13905	True;True;True;True;True;True	4669;7699;7700;10325;12340;15627;15628	6994;11301;11302;11303;11304;14979;17836;22516;22517	7997;12908;12909;12910;12911;12912;17087;20327;25622;25623	7997;12908;17087;20327;25622;25623	914;915	51;54
P0A9A6	P0A9A6	19	19	19	Cell division protein FtsZ	ftsZ		1	19	19	19	19	19	19	67.1	67.1	67.1	40.323	383	383	0	111.98	97343	137000	96206	116250	159040	102940	118580	120710	119490	109700	92107	129300	97632	120410	157110	104200	122670	123700	117860	106090	31	31	31	31	31	31	31	31	31	31	97343	137000	96206	116250	159040	102940	118580	120710	119490	109700	92107	129300	97632	120410	157110	104200	122670	123700	117860	106090	31	31	31	31	31	31	31	31	31	31	67.1	4573600000	4573600000	31				509	150;560;4357;4479;6193;6270;7565;9075;10767;10877;11324;13087;13441;14750;16404;17134;17235;17236;18001	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	170;621;4864;4992;6877;6959;8420;10066;11922;12101;12783;14739;15121;16574;18415;18416;19233;19234;19348;19349;20209;20210	277;961;7280;7448;10109;10237;12343;14639;14640;17148;17149;17434;17435;18570;21290;21825;23936;26530;26531;26532;27668;27669;27670;27827;27828;29047;29048;29049	327;1112;8339;8524;11538;11686;14162;16706;16707;19539;19540;19865;19866;19867;21177;21178;24228;24865;27244;30131;30132;30133;30134;31386;31387;31388;31568;31569;32975;32976;32977	327;1112;8339;8524;11538;11686;14162;16707;19540;19867;21177;24228;24865;27244;30131;31386;31568;31569;32977	916;917;918;919;920;921;922;923	1;5;29;104;302;317;336;344
P0A9A9	P0A9A9	5	5	5	Ferric uptake regulation protein	fur		1	5	5	5	5	5	5	37.2	37.2	37.2	16.795	148	148	0	36.628	21147	31312	20094	22116	29546	24924	24510	24102	23421	22125	20007	29526	20400	23313	29353	24889	25161	24871	23153	21391	10	9	10	9	10	10	10	9	9	9	21147	31312	20094	22116	29546	24924	24510	24102	23421	22125	20007	29526	20400	23313	29353	24889	25161	24871	23153	21391	10	9	10	9	10	10	10	9	9	9	37.2	758420000	758420000	10				510	7135;9629;14807;16379;16607	True;True;True;True;True	7947;10663;10664;16633;18388;18639	11648;15431;15432;15433;24018;24019;26491;26492;26850;26851	13350;17601;17602;17603;27336;27337;30084;30085;30479;30480	13350;17601;27336;30085;30479		
P0A9B2	P0A9B2	24	24	24	Glyceraldehyde-3-phosphate dehydrogenase A	gapA		1	24	24	24	24	24	24	81.9	81.9	81.9	35.532	331	331	0	242.47	1729300	1593800	1536500	1751100	1866700	1413400	1847100	1776100	1555700	1610900	1635600	1506500	1562300	1782900	1874200	1439400	1873100	1816100	1547400	1557900	143	145	143	144	144	144	145	144	145	145	1729300	1593800	1536500	1751100	1866700	1413400	1847100	1776100	1555700	1610900	1635600	1506500	1562300	1782900	1874200	1439400	1873100	1816100	1547400	1557900	143	145	143	144	144	144	145	144	145	145	81.9	164630000000	164630000000	148				511	10;240;723;2606;2993;4888;5600;5626;6760;7070;10437;10646;15657;16261;16423;16521;16611;16871;17030;17231;17232;17375;17554;17635	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	10;11;268;803;2907;3341;3342;5431;6235;6262;7521;7873;11554;11784;17587;18258;18438;18439;18544;18644;18948;19120;19343;19344;19345;19497;19700;19792	16;17;18;19;20;21;22;23;24;25;26;27;435;436;437;438;439;1232;1233;1234;1235;4424;4425;4426;5034;5035;5036;5037;5038;5039;5040;5041;8077;8078;8079;9187;9221;9222;9223;9224;9225;9226;9227;11039;11040;11530;11531;11532;11533;11534;16623;16624;16938;16939;16940;16941;16942;16943;16944;16945;16946;16947;25364;25365;25366;25367;25368;26304;26573;26574;26723;26724;26725;26726;26858;27283;27284;27285;27286;27287;27288;27524;27525;27526;27820;27821;27822;27823;27824;28023;28318;28319;28320;28321;28322;28323;28458;28459;28460;28461;28462;28463	21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;507;508;509;510;511;512;513;1435;1436;1437;1438;1439;1440;5082;5083;5084;5085;5764;5765;5766;5767;5768;5769;5770;5771;5772;5773;5774;5775;9247;9248;9249;9250;9251;10490;10491;10534;10535;10536;10537;10538;10539;10540;10541;10542;10543;10544;10545;12602;12603;13200;13201;13202;13203;13204;18943;18944;19295;19296;19297;19298;19299;19300;19301;19302;19303;19304;19305;19306;19307;19308;28827;28828;28829;28830;28831;29874;29875;30185;30186;30346;30347;30348;30349;30488;30953;30954;30955;30956;30957;30958;31214;31215;31216;31217;31554;31555;31556;31557;31558;31559;31560;31561;31562;31563;31564;31565;31788;32148;32149;32150;32151;32152;32153;32154;32155;32314;32315;32316;32317;32318;32319	45;513;1436;5083;5766;9249;10490;10544;12602;13204;18943;19302;28828;29875;30186;30349;30488;30955;31214;31563;31565;31788;32154;32318	924;925;926;927	119;129;173;268
P0A9B6	P0A9B6	11	11	11	D-erythrose-4-phosphate dehydrogenase	epd		1	11	11	11	11	11	11	38.6	38.6	38.6	37.299	339	339	0	23.478	48730	49269	44965	51983	58481	42221	53709	51648	46700	52670	46097	46559	45650	53052	58474	42973	54709	53028	46376	50790	12	12	12	12	12	12	12	12	12	12	48730	49269	44965	51983	58481	42221	53709	51648	46700	52670	46097	46559	45650	53052	58474	42973	54709	53028	46376	50790	12	12	12	12	12	12	12	12	12	12	38.6	836480000	836480000	12				512	226;1288;1370;3056;3886;4915;8394;14152;15329;16548;16973	True;True;True;True;True;True;True;True;True;True;True	254;1431;1544;3405;4325;5461;9342;15899;17221;18574;19055	419;2188;2376;5126;6491;8117;8118;13659;22913;24839;26767;27439	490;2523;2751;5869;7424;9292;9293;15636;26081;28254;30393;31122	490;2523;2751;5869;7424;9292;15636;26081;28254;30393;31122		
P0A9C0	P0A9C0	30	30	30	Anaerobic glycerol-3-phosphate dehydrogenase subunit A	glpA		1	30	30	30	30	30	30	62.2	62.2	62.2	58.958	542	542	0	164.48	225960	227520	201030	229860	255240	205630	240190	232860	220980	256400	213720	214940	204490	235480	255580	208010	244690	240240	218840	246820	55	55	55	55	55	55	55	55	54	55	225960	227520	201030	229860	255240	205630	240190	232860	220980	256400	213720	214940	204490	235480	255580	208010	244690	240240	218840	246820	55	55	55	55	55	55	55	55	54	55	62.2	10767000000	10767000000	55				513	98;279;2055;2621;3124;3558;3559;3762;3884;5255;6210;6600;6784;6944;7518;7519;7805;8058;8943;9494;9934;10394;11588;12165;15406;16276;16452;17029;17513;17587	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	114;311;2309;2923;3483;3965;3966;4191;4323;5847;6896;7351;7352;7551;7724;8368;8369;8695;8980;9924;10516;10988;10989;11504;11505;13073;13714;17319;18273;18274;18469;19119;19653;19737	182;512;3527;4451;4452;4453;5242;5243;5970;5971;6305;6487;6488;8653;10151;10807;10808;10809;10810;10811;11098;11342;12265;12266;12743;12744;13144;13145;14443;15244;15856;15857;16550;16551;16552;18993;18994;19903;24999;26324;26325;26326;26617;26618;27523;28239;28240;28378	221;600;4068;5116;5117;5118;6001;6002;6821;6822;7217;7419;7420;7421;9899;11585;12345;12346;12347;12348;12349;12674;12675;12964;12965;14070;14071;14621;14622;15059;15060;16497;17384;17385;18077;18078;18079;18864;18865;18866;21658;21659;21660;21661;22680;28431;29896;29897;29898;30233;30234;31213;32048;32049;32218	221;600;4068;5116;6001;6821;6822;7217;7419;9899;11585;12346;12674;12964;14070;14071;14622;15059;16497;17385;18078;18866;21659;22680;28431;29898;30234;31213;32048;32218	928;929;930;931	158;236;361;467
P0A9C3	P0A9C3	10	10	10	Aldose 1-epimerase	galM		1	10	10	10	10	10	10	50.9	50.9	50.9	38.19	346	346	0	79.092	21860	32155	21997	23022	36050	22603	29543	27355	27656	22746	20685	30324	22299	24177	35660	22777	30333	27941	27365	22051	14	15	14	14	15	14	15	14	14	14	21860	32155	21997	23022	36050	22603	29543	27355	27656	22746	20685	30324	22299	24177	35660	22777	30333	27941	27365	22051	14	15	14	14	15	14	15	14	14	14	50.9	815260000	815260000	15				514	1812;3465;6830;7786;7787;10202;11033;15785;17349;18066	True;True;True;True;True;True;True;True;True;True	2034;3864;7598;8675;8676;11300;12347;12348;17730;19470;20285	3098;5809;11163;12715;12716;12717;16288;16289;17853;17854;25574;27986;29161	3564;6641;12748;14589;14590;14591;14592;14593;18573;18574;20345;20346;29073;31750;33103	3564;6641;12748;14590;14592;18574;20346;29073;31750;33103	932	1
P0A9C5	P0A9C5	20	20	20	Glutamine synthetase	glnA		1	20	20	20	20	20	20	49.7	49.7	49.7	51.903	469	469	0	151.59	298440	280360	275480	299580	326190	247130	303580	305800	275000	307640	282310	264960	279300	305590	327680	251370	309320	313740	272550	296760	43	43	43	43	43	43	43	43	43	43	298440	280360	275480	299580	326190	247130	303580	305800	275000	307640	282310	264960	279300	305590	327680	251370	309320	313740	272550	296760	43	43	43	43	43	43	43	43	43	43	49.7	14200000000	14200000000	43				515	315;714;959;2097;2098;3980;4424;6083;7771;8104;8468;10622;10872;11567;11751;13148;13620;14744;17553;18137	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	348;794;1068;2352;2353;4428;4935;6761;8660;9029;9418;11760;12093;12094;13052;13255;14808;15311;15312;16567;16568;19699;20359	563;1221;1634;1635;3594;3595;3596;6650;7366;7367;9937;12697;13213;13214;13763;16907;17422;17423;17424;17425;18970;19267;19268;21393;22071;22072;22073;22074;22075;23924;23925;23926;28317;29255	661;662;1423;1876;1877;1878;4142;4143;4144;7610;8433;8434;11347;11348;14569;15140;15141;15747;19258;19852;19853;19854;19855;19856;21633;21964;21965;21966;21967;24346;24347;25137;25138;25139;25140;25141;27230;27231;27232;32146;32147;33204;33205	662;1423;1876;4143;4144;7610;8434;11348;14569;15141;15747;19258;19855;21633;21965;24347;25138;27232;32146;33205	933;934;935;936	9;49;257;393
P0A9C9	P0A9C9	15	15	15	Fructose-1,6-bisphosphatase 1 class 2	glpX		1	15	15	15	15	15	15	48.8	48.8	48.8	35.852	336	336	0	57.497	85852	99510	75863	93053	108440	78074	96093	96352	87497	89049	81200	93967	77339	95697	107940	79323	98172	98623	86698	86080	19	19	19	19	19	19	19	19	19	19	85852	99510	75863	93053	108440	78074	96093	96352	87497	89049	81200	93967	77339	95697	107940	79323	98172	98623	86698	86080	19	19	19	19	19	19	19	19	19	19	48.8	1487600000	1487600000	19				516	1060;1312;4058;5662;5679;6431;6661;6935;7676;8144;8518;9716;11910;13738;17062	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1179;1467;1468;4512;6301;6302;6325;7163;7419;7714;8544;9069;9476;10756;13441;13442;15441;19155	1801;2257;2258;2259;6779;9290;9291;9324;10533;10905;11331;12529;13263;13850;15561;19528;19529;22247;27569	2063;2624;2625;2626;7759;10617;10618;10653;12037;12451;12951;14371;15194;15848;17748;22256;22257;25326;31264	2063;2626;7759;10617;10653;12037;12451;12951;14371;15194;15848;17748;22257;25326;31264	937;938;939;940	40;120;228;259
P0A9D2	P0A9D2	11	11	11	Glutathione S-transferase GstA	gstA		1	11	11	11	11	11	11	65.7	65.7	65.7	22.868	201	201	0	82.254	61726	77301	59008	68612	88083	57624	76582	75797	70171	67604	58399	72974	59909	70802	87502	58605	78331	77363	69510	65412	18	18	18	18	18	18	18	18	18	18	61726	77301	59008	68612	88083	57624	76582	75797	70171	67604	58399	72974	59909	70802	87502	58605	78331	77363	69510	65412	18	18	18	18	18	18	18	18	18	18	65.7	2282100000	2282100000	18				517	2474;2559;5401;5974;10021;10251;10252;10766;12709;13373;15123	True;True;True;True;True;True;True;True;True;True;True	2764;2853;2854;6010;6643;11104;11105;11350;11351;11920;11921;14311;15049;16990	4238;4239;4353;4354;8873;9762;16039;16040;16349;16350;17145;17146;17147;20719;21728;24534;24535	4883;4884;5005;5006;10141;11145;18302;18303;18639;18640;18641;19536;19537;19538;23592;24758;27918;27919	4883;5005;10141;11145;18303;18639;18640;19536;23592;24758;27919	941;942;943	33;182;185
P0A9D4	P0A9D4	6	6	6	Serine acetyltransferase	cysE		1	6	6	6	6	6	6	32.2	32.2	32.2	29.316	273	273	0	48.304	30550	26859	25797	28206	30229	26941	31739	28572	26718	26441	28890	25381	26307	28858	30432	27131	32098	29393	26576	25558	7	7	7	7	7	7	7	7	7	7	30550	26859	25797	28206	30229	26941	31739	28572	26718	26441	28890	25381	26307	28858	30432	27131	32098	29393	26576	25558	7	7	7	7	7	7	7	7	7	7	32.2	677790000	677790000	7				518	3867;4714;5940;7662;10380;18046	True;True;True;True;True;True	4306;5243;5244;6606;8528;11488;20261	6469;7804;7805;9712;12505;16531;29127	7398;8927;8928;11090;14344;18842;33063	7398;8927;11090;14344;18842;33063	944	77
P0A9D8	P0A9D8	15	15	15	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	dapD		1	15	15	15	15	15	15	52.9	52.9	52.9	29.892	274	274	0	115.68	112660	130870	94724	118300	143100	97300	130810	125050	115860	105070	106540	123560	96981	121900	142170	99012	133340	127520	114950	101830	29	29	29	29	29	29	29	29	29	29	112660	130870	94724	118300	143100	97300	130810	125050	115860	105070	106540	123560	96981	121900	142170	99012	133340	127520	114950	101830	29	29	29	29	29	29	29	29	29	29	52.9	8217700000	8217700000	29				519	471;1918;3532;4567;4807;7472;8029;8439;11185;12505;13149;16260;16828;17249;18034	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	523;2162;3939;5083;5349;8315;8950;9388;12578;12579;14088;14809;18257;18900;19364;20248	812;3307;3308;5925;7568;7569;7961;12187;12188;12189;12190;12191;13104;13720;18193;18194;18195;20412;20413;21394;26303;27219;27852;29105	939;3814;3815;3816;6767;8655;8656;9112;9113;13984;13985;13986;13987;13988;13989;13990;15016;15699;20723;20724;20725;23254;23255;24348;29873;30879;31597;31598;33040	939;3815;6767;8656;9113;13984;15016;15699;20724;23255;24348;29873;30879;31598;33040	945	1
P0A9E0	P0A9E0	1	1	1	Arabinose operon regulatory protein	araC		1	1	1	1	1	1	1	2.4	2.4	2.4	33.384	292	292	0.009704	1.8603	1763.5	1861.5	1560.8	1677.4	1494.5	1608.9	1975.7	1778.5	1615.1	1734.8	1668	1757.4	1583.4	1732.5	1527	1621.2	1978.1	1829.6	1608.9	1674.7	1	1	1	1	1	1	1	1	1	1	1763.5	1861.5	1560.8	1677.4	1494.5	1608.9	1975.7	1778.5	1615.1	1734.8	1668	1757.4	1583.4	1732.5	1527	1621.2	1978.1	1829.6	1608.9	1674.7	1	1	1	1	1	1	1	1	1	1	2.4	28450000	28450000	1				520	9861	True	10907	15743	17947	17947		
P0A9E5	P0A9E5	4	4	4	Fumarate and nitrate reduction regulatory protein	fnr		1	4	4	4	4	4	4	22	22	22	27.967	250	250	0	25.113	16385	19705	14846	18728	19609	16529	15383	17683	16352	24854	15499	18609	15088	19254	19560	16727	15889	18442	16093	23812	6	6	6	6	6	6	6	6	6	6	16385	19705	14846	18728	19609	16529	15383	17683	16352	24854	15499	18609	15088	19254	19560	16727	15889	18442	16093	23812	6	6	6	6	6	6	6	6	6	6	22	575740000	575740000	6				521	5705;5734;8791;17825	True;True;True;True	6352;6383;6384;9764;20004	9373;9374;9412;9413;14233;28745	10709;10710;10751;10752;16269;32632	10709;10752;16269;32632	946	157
P0A9F1	P0A9F1	2	2	2	Transcriptional regulator MntR	mntR		1	2	2	2	2	2	2	12.9	12.9	12.9	17.64	155	155	0	5.6666	3789.6	4151.4	3847.1	3920.8	4709.7	4138.1	4067.1	4233	4087.7	4008	3586.2	3920.4	3879.9	4043.3	4719.4	4146.8	4171.4	4363.1	4032.4	3872	2	2	2	2	2	2	2	2	2	2	3789.6	4151.4	3847.1	3920.8	4709.7	4138.1	4067.1	4233	4087.7	4008	3586.2	3920.4	3879.9	4043.3	4719.4	4146.8	4171.4	4363.1	4032.4	3872	2	2	2	2	2	2	2	2	2	2	12.9	160110000	160110000	2				522	6734;9531	True;True	7495;10556	11003;15293	12559;17437	12559;17437		
P0A9F3	P0A9F3	9	9	9	HTH-type transcriptional regulator CysB	cysB		1	9	9	9	9	9	9	27.5	27.5	27.5	36.15	324	324	0	24.573	56097	59096	52506	58591	66964	54887	63284	60627	56993	62165	53069	55823	53247	60131	67044	55370	64422	62464	56502	59939	15	15	15	15	15	15	15	15	15	15	56097	59096	52506	58591	66964	54887	63284	60627	56993	62165	53069	55823	53247	60131	67044	55370	64422	62464	56502	59939	15	15	15	15	15	15	15	15	15	15	27.5	654740000	654740000	15				523	1019;3285;4835;8336;13794;14229;14518;14619;17571	True;True;True;True;True;True;True;True;True	1130;3666;5377;9281;15504;15994;15995;16315;16431;19718	1721;5535;5536;7997;13581;22337;23066;23067;23068;23549;23733;23734;28350	1970;6324;6325;6326;9155;15549;25425;26248;26249;26250;26251;26796;27012;27013;32187	1970;6324;9155;15549;25425;26249;26796;27012;32187	947	315
