Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides KUR1502	Razor + unique peptides KUR1502	Unique peptides KUR1502	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 0	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity 0	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity count 0	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity corrected 0 KUR1502	Reporter intensity corrected 1 KUR1502	Reporter intensity corrected 2 KUR1502	Reporter intensity corrected 3 KUR1502	Reporter intensity corrected 4 KUR1502	Reporter intensity corrected 5 KUR1502	Reporter intensity corrected 6 KUR1502	Reporter intensity corrected 7 KUR1502	Reporter intensity corrected 8 KUR1502	Reporter intensity corrected 9 KUR1502	Reporter intensity 0 KUR1502	Reporter intensity 1 KUR1502	Reporter intensity 2 KUR1502	Reporter intensity 3 KUR1502	Reporter intensity 4 KUR1502	Reporter intensity 5 KUR1502	Reporter intensity 6 KUR1502	Reporter intensity 7 KUR1502	Reporter intensity 8 KUR1502	Reporter intensity 9 KUR1502	Reporter intensity count 0 KUR1502	Reporter intensity count 1 KUR1502	Reporter intensity count 2 KUR1502	Reporter intensity count 3 KUR1502	Reporter intensity count 4 KUR1502	Reporter intensity count 5 KUR1502	Reporter intensity count 6 KUR1502	Reporter intensity count 7 KUR1502	Reporter intensity count 8 KUR1502	Reporter intensity count 9 KUR1502	Sequence coverage KUR1502 [%]	Intensity	Intensity KUR1502	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
A2ABV5	A2ABV5	2	2	2	Mediator of RNA polymerase II transcription subunit 14	Med14		1	2	2	2	2	2	2	1.8	1.8	1.8	160.96	1459	1459	0.00069477	7.905	692.58	0	630.35	0	362.3	765.74	206.66	0	400.18	488.97	655.12	0	634.73	0	381.47	724.68	223.13	0	386.65	460.42	2	0	2	0	2	2	2	0	2	2	692.58	0	630.35	0	362.3	765.74	206.66	0	400.18	488.97	655.12	0	634.73	0	381.47	724.68	223.13	0	386.65	460.42	2	0	2	0	2	2	2	0	2	2	1.8	9722300	9722300	2				10	12985;17648	True;True	13761;18739	20013;27050	21624;29076	21624;29076		
A2ADY9	A2ADY9	8	8	8	Protein DDI1 homolog 2	Ddi2		1	8	8	8	8	8	8	36.8	36.8	36.8	44.59	399	399	0	102.79	8405.5	125.07	6224.2	0	5312.4	10184	8801.5	0	10349	8454.9	7945.6	117.44	6384.2	0	5495.6	9640.4	8830.6	141.75	10146	7959.8	10	1	9	0	10	10	10	0	11	10	8405.5	125.07	6224.2	0	5312.4	10184	8801.5	0	10349	8454.9	7945.6	117.44	6384.2	0	5495.6	9640.4	8830.6	141.75	10146	7959.8	10	1	9	0	10	10	10	0	11	10	36.8	160110000	160110000	12				11	1505;5041;13239;16718;20109;21474;21887;28043	True;True;True;True;True;True;True;True	1536;5277;14035;17766;21389;22915;23362;29920;29921	2255;7759;20399;25668;25669;25670;25671;30796;32984;33602;42967;42968	2459;8387;22038;27613;27614;27615;27616;33003;35308;35968;46062;46063	2459;8387;22038;27614;33003;35308;35968;46063	6	125
A2AF47;Q8BIK4	A2AF47	12;2	11;1	11;1	Dedicator of cytokinesis protein 11	Dock11		2	12	11	11	12	11	11	7.9	7.4	7.4	237.77	2073	2073;2055	0	56.209	17079	366.8	13996	0	10921	20964	14466	0	18213	15956	16149	344.41	14235	0	11317	19841	14658	327.36	17808	15018	14	4	13	0	13	15	14	0	13	15	17079	366.8	13996	0	10921	20964	14466	0	18213	15956	16149	344.41	14235	0	11317	19841	14658	327.36	17808	15018	14	4	13	0	13	15	14	0	13	15	7.9	204360000	204360000	15				12	5663;7549;9918;11848;14456;17226;19101;23111;28547;28749;31910;32142	True;True;True;True;True;True;True;True;False;True;True;True	5942;7937;10482;12527;15364;18301;20287;24677;30459;30684;34061;34314	8750;8751;11603;15212;15213;18214;22335;26437;29180;29181;35446;35447;43777;44151;49101;49454	9453;9454;12510;16402;16403;19635;24068;28427;31311;31312;37976;37977;46919;47327;52586;52955	9454;12510;16402;19635;24068;28427;31312;37976;46919;47327;52586;52955	7;8	427;1590
Q8R3R5;A2AF53	Q8R3R5;A2AF53	2;2	2;2	2;2	Transmembrane protein 185B;Transmembrane protein 185A	Tmem185b;Tmem185a	;	2	2	2	2	2	2	2	5.4	5.4	5.4	40.701	350	350;350	0.0022297	7.0505	867.78	0	726.62	0	353.2	986.55	550.17	0	863.94	863.47	820.61	0	735.58	0	377.71	934.09	559.16	0	839.14	813.06	2	0	2	0	1	2	2	0	2	1	867.78	0	726.62	0	353.2	986.55	550.17	0	863.94	863.47	820.61	0	735.58	0	377.71	934.09	559.16	0	839.14	813.06	2	0	2	0	1	2	2	0	2	1	5.4	7509500	7509500	3				13	10828;31098	True;True	11441;33202	16654;16655;47853	17957;17958;51256	17957;51256		
A2AGH6;Q8BQM9	A2AGH6	3;1	3;1	3;1	Mediator of RNA polymerase II transcription subunit 12	Med12		2	3	3	3	3	3	3	1.9	1.9	1.9	244.56	2190	2190;2157	0.00052952	11.305	397.55	0	194.88	0	78.801	717.83	314.01	0	0	105.83	384.96	0	197.37	0	89.851	686.88	299.74	0	0	99.648	3	0	1	0	1	2	1	0	0	1	397.55	0	194.88	0	78.801	717.83	314.01	0	0	105.83	384.96	0	197.37	0	89.851	686.88	299.74	0	0	99.648	3	0	1	0	1	2	1	0	0	1	1.9	6128600	6128600	4				14	22581;24345;24884	True;True;True	24106;25969;26539	34639;37214;38006	37094;37095;39895;40737	37095;39895;40737		
A2AGT5	A2AGT5	21	21	21	Cytoskeleton-associated protein 5	Ckap5		1	21	21	21	21	21	21	13.1	13.1	13.1	225.63	2032	2032	0	116.6	31235	88.056	16517	0	13583	39199	17122	204.24	20402	26740	29501	82.682	17408	35.984	14011	37104	17331	1175.8	19991	25176	24	2	22	0	24	25	23	2	24	24	31235	88.056	16517	0	13583	39199	17122	204.24	20402	26740	29501	82.682	17408	35.984	14011	37104	17331	1175.8	19991	25176	24	2	22	0	24	25	23	2	24	24	13.1	342720000	342720000	25				15	2185;3864;4181;5257;5496;5998;6657;6660;7159;7777;9175;9987;10367;11199;13869;15852;21172;21683;22400;26412;32763	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	2268;4023;4362;5520;5773;6296;6990;6993;7524;8186;9681;10553;10956;11831;14711;16852;22565;23140;23911;28163;34985	3354;5904;5905;6455;8137;8500;9297;10250;10253;10254;11038;11941;14084;14085;15321;15923;17249;21398;24385;32453;32454;33284;34380;40352;50441	3650;6392;6393;6993;8802;9192;10034;11050;11053;11054;11904;12866;15187;15188;16518;17165;18604;23105;26263;34740;34741;35625;36801;43256;54004	3650;6392;6993;8802;9192;10034;11050;11054;11904;12866;15187;16518;17165;18604;23105;26263;34740;35625;36801;43256;54004		
A2AHC3	A2AHC3	1	1	1	Calmodulin-regulated spectrin-associated protein 1	Camsap1		1	1	1	1	1	1	1	0.9	0.9	0.9	175.89	1581	1581	0.0093403	4.0973	4305	0	1653.5	0	1317.8	3971.3	1289.7	2.5072	1386.5	2594.7	4063.7	0	1813.2	0	1356.8	3758.5	1316.8	234.5	1364	2443.3	1	0	1	0	1	1	1	1	1	1	4305	0	1653.5	0	1317.8	3971.3	1289.7	2.5072	1386.5	2594.7	4063.7	0	1813.2	0	1356.8	3758.5	1316.8	234.5	1364	2443.3	1	0	1	0	1	1	1	1	1	1	0.9	53761000	53761000	1				16	4946	True	5165	7546	8153	8153		
A2AIG8	A2AIG8	1	1	1	1-aminocyclopropane-1-carboxylate synthase-like protein 1	Accs		1	1	1	1	1	1	1	2.2	2.2	2.2	56.878	502	502	0.0042459	4.5058	185.11	0	134.76	0	92.121	422.32	181.59	0	102.87	159.35	174.98	0	138.24	0	97.193	399.47	178.39	0	104.84	150.05	1	0	1	0	1	1	1	0	1	1	185.11	0	134.76	0	92.121	422.32	181.59	0	102.87	159.35	174.98	0	138.24	0	97.193	399.47	178.39	0	104.84	150.05	1	0	1	0	1	1	1	0	1	1	2.2	3858500	3858500	1				17	11964	True	12654	18398	19833	19833		
A2AIV2	A2AIV2	4	4	4	Protein virilizer homolog	Kiaa1429		1	4	4	4	4	4	4	4.5	4.5	4.5	201.44	1811	1811	0	17.922	780.47	0	451.04	0	217.84	1278.3	176.88	0	610.88	663.43	737.29	0	470.18	0	234.59	1209.5	184.71	0	589.01	624.7	2	0	2	0	2	2	1	0	3	2	780.47	0	451.04	0	217.84	1278.3	176.88	0	610.88	663.43	737.29	0	470.18	0	234.59	1209.5	184.71	0	589.01	624.7	2	0	2	0	2	2	1	0	3	2	4.5	19634000	19634000	4				18	3109;23105;26772;28157	True;True;True;True	3217;24670;28553;30043	4747;35438;40906;43157	5153;37968;43876;46256	5153;37968;43876;46256		
A2AIV8	A2AIV8	6	6	6	Caspase recruitment domain-containing protein 9	Card9		1	6	6	6	6	6	6	12.7	12.7	12.7	62.461	536	536	0	49.585	7120	892.88	3225.1	28.704	2939.4	9929.8	3409.2	0	4227.5	7180	6722.8	838.03	3467.4	107.02	3007.2	9396.1	3461	318.05	4136.5	6760.7	5	2	5	1	6	6	5	0	6	6	7120	892.88	3225.1	28.704	2939.4	9929.8	3409.2	0	4227.5	7180	6722.8	838.03	3467.4	107.02	3007.2	9396.1	3461	318.05	4136.5	6760.7	5	2	5	1	6	6	5	0	6	6	12.7	155980000	155980000	7				19	462;4932;7223;17307;21671;30124	True;True;True;True;True;True	451;5150;7589;18382;23128;32153	607;608;7525;11129;26551;33270;46306	664;665;8130;12004;28552;35611;49625	665;8130;12004;28552;35611;49625		
A2AJ15	A2AJ15	6	6	6	Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase	Man1b1		1	6	6	6	6	6	6	11.9	11.9	11.9	75.149	658	658	0	27.282	2107	0	2095.1	0	1578.3	2638.2	1747.5	0	1897.1	1864.6	1993.8	0	2104.4	0	1631.2	2497.1	1774.8	0	1862.5	1755.7	5	0	5	0	4	5	5	0	4	5	2107	0	2095.1	0	1578.3	2638.2	1747.5	0	1897.1	1864.6	1993.8	0	2104.4	0	1631.2	2497.1	1774.8	0	1862.5	1755.7	5	0	5	0	4	5	5	0	4	5	11.9	42131000	42131000	6				20	561;7866;8128;9599;21823;30486	True;True;True;True;True;True	558;8280;8556;10137;23290;32557	777;12067;12461;14702;33500;46897	847;13002;13447;15840;35862;50245	847;13002;13447;15840;35862;50245		
A2AJ88	A2AJ88	4	4	4	Patatin-like phospholipase domain-containing protein 7	Pnpla7		1	4	4	4	4	4	4	4.9	4.9	4.9	150.49	1352	1352	0	17.984	559.44	120.5	535.05	0	327.9	899.03	892.23	0	1008.1	619.35	528.97	113.14	538.7	0	348.04	850.91	882.05	0	989.78	583.19	1	1	2	0	1	2	1	0	2	1	559.44	120.5	535.05	0	327.9	899.03	892.23	0	1008.1	619.35	528.97	113.14	538.7	0	348.04	850.91	882.05	0	989.78	583.19	1	1	2	0	1	2	1	0	2	1	4.9	19899000	19899000	4				21	10425;14011;20141;23621	True;True;True;True	11015;14864;21422;25215	16015;21614;30834;36213	17260;23325;33042;38812	17260;23325;33042;38812	9;10;11;12	942;1012;1015;1016
A2AJI0	A2AJI0	3	3	3	MAP7 domain-containing protein 1	Map7d1		1	3	3	3	3	3	3	4.3	4.3	4.3	93.275	846	846	0	11.568	230.25	0	116.35	0	241.96	367.1	365.48	0	418.95	110.45	217.45	0	116.67	0	239.92	354.62	362.46	0	411.11	104	2	0	1	0	3	3	2	0	3	1	230.25	0	116.35	0	241.96	367.1	365.48	0	418.95	110.45	217.45	0	116.67	0	239.92	354.62	362.46	0	411.11	104	2	0	1	0	3	3	2	0	3	1	4.3	16478000	16478000	4				22	7951;17963;29310	True;True;True	8370;19083;31285	12196;27537;45035	13146;29592;48266;48267	13146;29592;48267		
A2AKG8	A2AKG8	1	1	1	Focadhesin	Focad		1	1	1	1	1	1	1	0.9	0.9	0.9	198.95	1798	1798	0.005006	4.3889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9	3151600	3151600	1				23	28297	True	30191	43362	46472	46472		
A2AL36	A2AL36	2	2	2	Centriolin	Cntrl		1	2	2	2	2	2	2	1.5	1.5	1.5	268.88	2334	2334	0.00050531	9.9405	0	0	0	0	0	0	0	0	0	100.76	0	0	0	0	0	0	0	0	0	100.76	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	100.76	0	0	0	0	0	0	0	0	0	100.76	0	0	0	0	0	0	0	0	0	1	1.5	2496800	2496800	2				24	7824;22352	True;True	8237;23862	12004;34317	12932;36736	12932;36736		
A2ALW5	A2ALW5	2	2	2	DnaJ homolog subfamily C member 25	Dnajc25		1	2	2	2	2	2	2	6.7	6.7	6.7	41.937	357	357	0.00048391	8.9536	1019.3	0	377.51	0	457.85	1432.4	801.32	0	1152.5	703.62	962.09	0	418.66	0	465.07	1355.2	808.8	0	1122.3	662.54	2	0	2	0	2	2	2	0	2	2	1019.3	0	377.51	0	457.85	1432.4	801.32	0	1152.5	703.62	962.09	0	418.66	0	465.07	1355.2	808.8	0	1122.3	662.54	2	0	2	0	2	2	2	0	2	2	6.7	15142000	15142000	2				25	4059;20328	True;True	4232;21630	6259;31107	6784;33329	6784;33329		
A2AMZ4	A2AMZ4	1	1	1	Uncharacterized protein C17orf89 homolog			1	1	1	1	1	1	1	24.3	24.3	24.3	7.7849	74	74	0.003031	5.9626	184.39	0	294.03	0	182.71	464.82	118.19	0	274	172.2	174.89	0	288.28	0	191.22	439.66	127.68	0	263.75	162.14	1	0	1	0	1	1	1	0	1	1	184.39	0	294.03	0	182.71	464.82	118.19	0	274	172.2	174.89	0	288.28	0	191.22	439.66	127.68	0	263.75	162.14	1	0	1	0	1	1	1	0	1	1	24.3	3489300	3489300	1				26	908	True	903	1265	1377	1377		
A2AN08	A2AN08	25	25	25	E3 ubiquitin-protein ligase UBR4	Ubr4		1	25	25	25	25	25	25	6	6	6	572.28	5180	5180	0	153.02	19354	343.12	15631	0	11569	25832	14643	0	17803	17686	18303	322.18	15906	71.053	11991	24447	14837	487.54	17435	16649	24	5	24	0	21	24	23	0	25	22	19354	343.12	15631	0	11569	25832	14643	0	17803	17686	18303	322.18	15906	71.053	11991	24447	14837	487.54	17435	16649	24	5	24	0	21	24	23	0	25	22	6	304170000	304170000	27				27	1833;2154;2954;2982;3847;7201;7303;8234;12635;13836;14007;17070;17792;21624;23059;23544;25629;26356;28239;28298;29028;30021;30570;32232;32312	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1876;2232;3057;3088;4006;7567;7673;8672;13375;14676;14860;18135;18893;23077;24610;24611;25132;27332;28101;30130;30192;30984;32042;32642;34413;34498	2745;3294;4537;4573;5882;11098;11252;11253;12624;19447;21346;21609;26207;27273;33194;35308;35309;36090;39139;40259;43281;43363;44614;46155;47014;49615;49739	2986;3586;4931;4967;6370;11968;12130;12131;13623;20975;23052;23320;28183;29314;35533;37813;37814;38679;41941;43160;46385;46473;47812;49466;50367;53120;53254	2986;3586;4931;4967;6370;11968;12130;13623;20975;23052;23320;28183;29314;35533;37813;38679;41941;43160;46385;46473;47812;49466;50367;53120;53254	13	4824
