Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides MS2	Razor + unique peptides MS2	Unique peptides MS2	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 0	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity 0	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity count 0	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity corrected 0 MS2	Reporter intensity corrected 1 MS2	Reporter intensity corrected 2 MS2	Reporter intensity corrected 3 MS2	Reporter intensity corrected 4 MS2	Reporter intensity corrected 5 MS2	Reporter intensity corrected 6 MS2	Reporter intensity corrected 7 MS2	Reporter intensity corrected 8 MS2	Reporter intensity corrected 9 MS2	Reporter intensity 0 MS2	Reporter intensity 1 MS2	Reporter intensity 2 MS2	Reporter intensity 3 MS2	Reporter intensity 4 MS2	Reporter intensity 5 MS2	Reporter intensity 6 MS2	Reporter intensity 7 MS2	Reporter intensity 8 MS2	Reporter intensity 9 MS2	Reporter intensity count 0 MS2	Reporter intensity count 1 MS2	Reporter intensity count 2 MS2	Reporter intensity count 3 MS2	Reporter intensity count 4 MS2	Reporter intensity count 5 MS2	Reporter intensity count 6 MS2	Reporter intensity count 7 MS2	Reporter intensity count 8 MS2	Reporter intensity count 9 MS2	Sequence coverage MS2 [%]	Intensity	Intensity MS2	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
P00509	P00509	28	28	28	Aspartate aminotransferase	aspC		1	28	28	28	28	28	28	72.7	72.7	72.7	43.573	396	396	0	323.31	416940	419590	361780	437690	478460	366040	468630	450170	398020	405450	394320	396480	368870	447140	478440	371910	475570	460510	395720	392200	55	56	54	55	54	55	56	56	56	55	416940	419590	361780	437690	478460	366040	468630	450170	398020	405450	394320	396480	368870	447140	478440	371910	475570	460510	395720	392200	55	56	54	55	54	55	56	56	56	55	72.7	27355000000	27355000000	70				43	381;614;655;1191;1672;2597;2937;2997;4865;7384;7752;7753;9518;9519;10049;12302;13039;13822;14466;15209;15352;17448;17669;18543;18919;19417;20114;20724	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	424;692;738;739;1342;1343;1926;2954;3328;3390;5475;8301;8749;8750;10726;10727;11304;13786;14683;15847;16574;17388;17571;19923;20178;21178;21584;22144;22946;22947;23626	689;690;1075;1155;1156;1157;1158;2080;2081;2082;2083;2084;2085;2086;3005;4603;5208;5209;5286;8412;8413;8414;12463;13159;13160;16094;16095;16893;16894;20273;21644;21645;23651;23652;24689;24690;25797;25798;25799;25800;26059;26060;29585;29984;31411;31412;32030;32031;32856;34009;34010;34011;34967;34968	891;892;893;1367;1466;1467;1468;1469;2639;2640;2641;2642;2643;2644;2645;2646;2647;3841;5883;6637;6638;6731;10636;10637;10638;15720;15721;16577;16578;20321;20322;20323;21315;21316;25419;25420;27115;27116;29672;29673;29674;30933;30934;30935;30936;32332;32333;32334;32335;32336;32650;32651;37021;37022;37543;39296;39297;40042;40043;40044;40045;41073;41074;42498;42499;42500;42501;43671;43672;43673	891;1367;1468;2645;3841;5883;6637;6731;10637;15720;16577;16578;20322;20323;21315;25420;27115;29673;30933;32334;32651;37021;37543;39297;40045;41073;42501;43671	85;86;87;88;89;90	1;234;314;347;380;385
P00547	P00547	10	10	10	Homoserine kinase	thrB		1	10	10	10	10	10	10	26.8	26.8	26.8	33.623	310	310	0	62.082	16906	18378	13524	21882	17604	15133	16337	17157	15430	16684	15984	17381	13860	22146	17605	15527	16666	17634	15264	16108	5	5	5	5	5	5	5	5	5	5	16906	18378	13524	21882	17604	15133	16337	17157	15430	16684	15984	17381	13860	22146	17605	15527	16666	17634	15264	16108	5	5	5	5	5	5	5	5	5	5	26.8	212400000	212400000	11				44	1110;3800;5081;10972;11671;14857;15143;15385;18947;20374	True;True;True;True;True;True;True;True;True;True	1253;4299;5755;12311;13066;16998;17317;17611;21613;23231	1955;6662;8847;18302;19324;25234;25696;26120;32066;34414;34415	2494;8427;11197;23006;24271;31624;32205;32728;40086;42982;42983	2494;8427;11197;23006;24271;31624;32205;32728;40086;42982		
P00561	P00561	24	24	24	Bifunctional aspartokinase/homoserine dehydrogenase 1;Aspartokinase;Homoserine dehydrogenase	thrA		1	24	24	24	24	24	24	36.3	36.3	36.3	89.119	820	820	0	296.7	119420	113270	107180	122880	125830	113140	131630	122510	112130	121760	112950	107060	108870	125420	126650	114180	133180	126190	111460	117490	29	29	29	29	29	29	29	29	29	29	119420	113270	107180	122880	125830	113140	131630	122510	112130	121760	112950	107060	108870	125420	126650	114180	133180	126190	111460	117490	29	29	29	29	29	29	29	29	29	29	36.3	1854200000	1854200000	37				45	1378;1557;2845;4452;4481;5016;5882;5956;6914;7190;7552;8067;8669;9556;10657;11684;14330;15068;16852;17952;18174;18939;19116;19362	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1552;1785;3228;3229;5025;5054;5656;5657;6630;6712;7788;8091;8519;9091;9760;10768;11966;13079;16428;17236;19246;20487;20746;21605;21801;22080	2411;2801;5053;5054;7782;7820;7821;8672;8673;8674;8675;10077;10191;10192;11713;12157;12158;12159;12806;13671;14727;16144;17813;19337;19338;24473;25574;28530;30437;30799;30800;32057;32339;32755	3045;3596;6457;6458;9836;9883;9884;9885;10951;10952;10953;10954;12728;12874;12875;12876;14769;15349;15350;15351;16153;17218;18615;20381;22429;24286;24287;30656;32056;32057;35723;38112;38551;38552;40075;40437;40930	3045;3596;6458;9836;9883;10952;12728;12876;14769;15351;16153;17218;18615;20381;22429;24286;30656;32056;35723;38112;38551;40075;40437;40930	91;92;93;94;95;96	184;331;374;406;663;677
P00562	P00562	25	25	25	Bifunctional aspartokinase/homoserine dehydrogenase 2;Aspartokinase;Homoserine dehydrogenase	metL		1	25	25	25	25	25	25	32.6	32.6	32.6	88.887	810	810	0	310.36	130780	127200	109730	139110	149020	111500	137440	137810	125870	132250	123670	120230	112160	141670	148730	113570	140140	141190	124690	127720	29	30	30	30	29	30	29	29	30	30	130780	127200	109730	139110	149020	111500	137440	137810	125870	132250	123670	120230	112160	141670	148730	113570	140140	141190	124690	127720	29	30	30	30	29	30	29	29	30	30	32.6	1777200000	1777200000	34				46	2585;2640;3854;4018;4204;4603;4604;5010;5245;5954;9134;9345;9968;10545;10625;12330;12786;14142;15122;16968;17456;17993;19518;19760;20463	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	2941;3000;4363;4546;4750;5187;5188;5645;5646;5933;6710;10280;10525;11219;11845;11931;13817;14318;16219;17296;19370;19933;20541;22254;22519;23329	4586;4587;4672;6777;7051;7052;7376;8010;8011;8660;8661;9069;9070;10188;15458;15809;16776;17651;17652;17767;20315;21047;21048;24190;25664;28704;29603;30522;33002;33389;34553	5862;5863;5864;5964;8566;8918;8919;9310;10129;10130;10938;10939;11462;11463;12871;19549;19971;21172;22233;22234;22368;25480;25481;26375;26376;30327;32169;35928;37043;38209;41258;41259;41757;43153	5863;5964;8566;8919;9310;10129;10130;10939;11462;12871;19549;19971;21172;22233;22368;25481;26376;30327;32169;35928;37043;38209;41258;41757;43153	97	732
P00579	P00579	26	26	26	RNA polymerase sigma factor RpoD	rpoD		1	26	26	26	26	26	26	41.8	41.8	41.8	70.263	613	613	0	299.78	455020	421950	444110	451980	478800	447910	475420	451340	431660	454380	430530	398780	448240	462180	483750	450040	482900	466280	427780	438300	73	73	73	73	73	73	73	73	73	73	455020	421950	444110	451980	478800	447910	475420	451340	431660	454380	430530	398780	448240	462180	483750	450040	482900	466280	427780	438300	73	73	73	73	73	73	73	73	73	73	41.8	15672000000	15672000000	84				47	278;1884;2180;4433;4434;5014;5043;5141;5159;5961;7470;9600;10164;10819;11436;12254;12688;13020;13223;13453;14973;15325;15326;16769;16791;19249	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	314;2160;2494;5004;5005;5652;5653;5708;5709;5819;5839;6717;6718;8405;10816;10817;11434;11435;12142;12804;13735;14214;14647;14648;14989;14990;14991;15359;15360;17129;17130;17531;17532;17533;17534;17535;19150;19176;21951	521;522;3340;3341;3884;7756;7757;8667;8668;8669;8786;8787;8919;8944;8945;10198;10199;12613;16214;16215;17090;17091;18062;18063;18958;20212;20893;20894;21571;21572;21573;21574;21575;21576;21577;22205;22206;22207;22208;22209;22210;22211;22212;22808;22809;22810;22811;22812;25427;25428;25429;25998;25999;26000;26001;26002;26003;26004;26005;26006;26007;28394;28395;28426;32563;32564;32565;32566;32567;32568	668;669;670;4257;4258;4950;9806;9807;10945;10946;10947;10948;11121;11122;11278;11306;11307;12883;12884;15911;15912;20472;20473;20474;21568;21569;22719;22720;23811;23812;23813;25349;25350;26186;26187;27019;27020;27021;27022;27023;27024;27025;27838;27839;27840;27841;27842;27843;27844;27845;27846;28576;28577;28578;28579;28580;28581;28582;31864;31865;31866;31867;31868;32578;32579;32580;32581;32582;32583;32584;32585;32586;32587;32588;35560;35561;35604;35605;40696;40697;40698;40699;40700;40701	669;4258;4950;9806;9807;10948;11122;11278;11307;12884;15911;20474;21568;22719;23811;25349;26186;27025;27846;28576;31866;32581;32585;35560;35604;40701	98;99;100;101;102;103;104;105;106;107;108	1;105;273;365;379;456;470;474;487;489;567
P00582;P25549	P00582	38;1	38;1	38;1	DNA polymerase I	polA		2	38	38	38	38	38	38	43.1	43.1	43.1	103.12	928	928;551	0	323.31	205390	202490	184640	212160	227670	188010	222750	216060	201650	214860	194280	191340	187630	216860	228410	190290	226400	222120	199860	207320	62	61	61	61	62	61	62	62	62	62	205390	202490	184640	212160	227670	188010	222750	216060	201650	214860	194280	191340	187630	216860	228410	190290	226400	222120	199860	207320	62	61	61	61	62	61	62	62	62	62	43.1	6250700000	6250700000	79				48	152;153;914;968;1541;1800;2020;2871;2906;5207;5208;5482;7212;7434;7644;8195;8682;9464;10053;10599;12122;12445;12851;13146;13563;13582;14263;15038;15123;15278;16270;16786;17937;19565;20924;20964;21412;21462	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	174;175;176;177;1036;1098;1756;1757;2066;2067;2306;3256;3294;5892;5893;6189;8114;8360;8628;9230;9231;9773;10650;11308;11903;13590;13591;13943;14388;14861;15531;15565;15566;16351;17203;17297;17468;18597;19169;19170;20471;22306;23842;23886;24394;24460	307;308;309;310;311;1618;1700;2752;2753;3210;3211;3562;5106;5156;9010;9011;9012;9013;9437;12196;12544;12972;12973;13890;13891;13892;13893;14747;15979;15980;16898;17732;20023;20024;20025;20498;21134;21962;23118;23119;23207;23208;23209;24373;24374;25528;25529;25665;25666;25667;25896;27553;28418;28419;28420;30414;33069;33070;33071;33072;33073;35260;35316;36086;36180	402;403;404;405;406;407;408;409;410;2075;2179;3526;3527;3528;4096;4097;4530;4531;6523;6579;11393;11394;11395;11396;11913;15402;15826;15827;16354;16355;16356;17495;17496;17497;17498;18640;20185;20186;21320;22329;25124;25125;25126;25127;25700;26476;27531;28971;28972;29106;29107;29108;30539;30540;30541;31987;31988;32170;32171;32172;32452;34532;35595;35596;35597;38080;38081;38082;41355;41356;41357;41358;41359;41360;44047;44117;44118;45098;45212	402;410;2075;2179;3526;4097;4530;6523;6579;11393;11395;11913;15402;15826;16354;17498;18640;20186;21320;22329;25126;25700;26476;27531;28971;29106;30539;31987;32171;32452;34532;35596;38080;41356;44047;44117;45098;45212	109;110;111;112;113;114;115;116;117;118;119;120;121;122	1;84;98;102;458;512;531;647;714;788;802;848;876;904
P00634	P00634	10	10	10	Alkaline phosphatase	phoA		1	10	10	10	10	10	10	24	24	24	49.438	471	471	0	120.43	22801	22790	23410	23292	24677	23878	25498	22294	24000	24836	21578	21532	23555	23894	24978	23935	25875	23172	23744	23902	7	7	7	7	7	7	7	7	7	7	22801	22790	23410	23292	24677	23878	25498	22294	24000	24836	21578	21532	23555	23894	24978	23935	25875	23172	23744	23902	7	7	7	7	7	7	7	7	7	7	24	205380000	205380000	11				49	250;472;1064;1697;3661;7223;7781;12504;13730;14446	True;True;True;True;True;True;True;True;True;True	285;531;1203;1953;4137;8127;8783;14011;15750;16553	476;860;1876;3042;6407;12211;13218;13219;20596;23489;24665	617;1102;2394;3886;8108;15420;16645;16646;25820;29463;30906	617;1102;2394;3886;8108;15420;16645;25820;29463;30906		
P00722	P00722	5	5	5	Beta-galactosidase	lacZ		1	5	5	5	5	5	5	5	5	5	116.48	1024	1024	0	39.441	10473	9371.8	9891	8772.1	11681	9311.4	10018	10471	9666.4	8649.7	9908	8849.8	10012	9052.2	11725	9340.1	10267	10719	9552.7	8387.1	4	4	4	4	4	4	4	4	4	4	10473	9371.8	9891	8772.1	11681	9311.4	10018	10471	9666.4	8649.7	9908	8849.8	10012	9052.2	11725	9340.1	10267	10719	9552.7	8387.1	4	4	4	4	4	4	4	4	4	4	5	32371000	32371000	5				50	3852;3880;9128;12032;19153	True;True;True;True;True	4361;4392;10274;13496;21843	6775;6818;15445;19911;32400	8564;8617;19534;24995;40507	8564;8617;19534;24995;40507		
P00803	P00803	8	8	8	Signal peptidase I	lepB		1	8	8	8	8	8	8	24.1	24.1	24.1	35.96	324	324	0	66.475	65766	57850	57241	63133	64795	58260	66067	65013	60127	61535	62199	54679	58224	64422	65321	58815	67027	66805	59580	59447	9	9	9	9	9	9	9	9	9	9	65766	57850	57241	63133	64795	58260	66067	65013	60127	61535	62199	54679	58224	64422	65321	58815	67027	66805	59580	59447	9	9	9	9	9	9	9	9	9	9	24.1	453700000	453700000	10				51	2220;5759;10175;14915;15914;18273;20525;21693	True;True;True;True;True;True;True;True	2540;6496;11446;17063;18206;20857;23399;24713	3966;9886;17105;25321;26974;30952;34642;36530	5064;12479;12480;21585;21586;31727;33822;38737;43261;45642	5064;12480;21585;31727;33822;38737;43261;45642		
P00805	P00805	15	15	15	L-asparaginase 2	ansB		1	15	15	15	15	15	15	49.7	49.7	49.7	36.85	348	348	0	177.05	139990	172850	124090	159260	185370	131660	160470	161150	151850	141360	132410	163210	126570	163910	184140	133840	164310	164760	150190	136840	29	29	29	29	29	29	29	29	29	29	139990	172850	124090	159260	185370	131660	160470	161150	151850	141360	132410	163210	126570	163910	184140	133840	164310	164760	150190	136840	29	29	29	29	29	29	29	29	29	29	49.7	3591900000	3591900000	31				52	2447;3552;6937;7978;8547;9548;10281;17130;17447;18043;18459;19473;19519;20192;21202	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	2786;2787;4019;7817;7818;8990;8991;9622;10760;11558;19569;19922;20599;21085;22205;22255;23032;24155	4361;4362;4363;6234;11755;11756;13519;13520;13521;13522;14495;14496;14497;16135;17264;29016;29583;29584;30598;31292;32937;33003;34118;34119;35719	5576;5577;5578;5579;7903;7904;14823;14824;17014;17015;17016;17017;17018;18315;18316;18317;20372;21781;36324;37018;37019;37020;38306;39150;41178;41179;41180;41260;42628;42629;44641	5576;7903;14824;17017;18317;20372;21781;36324;37018;38306;39150;41179;41260;42629;44641	123;124;125;126	83;133;137;172
P00811	P00811	10	10	10	Beta-lactamase	ampC		1	10	10	10	10	10	10	25.2	25.2	25.2	41.555	377	377	0	84.347	25156	25108	23336	25152	26092	24645	26956	25641	24883	25789	23797	23718	23638	25814	26326	24787	27340	26459	24640	24877	8	8	8	8	8	8	8	8	8	8	25156	25108	23336	25152	26092	24645	26956	25641	24883	25789	23797	23718	23638	25814	26326	24787	27340	26459	24640	24877	8	8	8	8	8	8	8	8	8	8	25.2	146050000	146050000	12				53	1175;11984;12347;14450;14470;17312;17356;17948;18183;18338	True;True;True;True;True;True;True;True;True;True	1326;13440;13835;16557;16578;19774;19821;20482;20756;20930	2059;19833;20339;24669;24695;29319;29422;30427;30428;30812;31040	2617;24900;25513;30911;30941;30942;36682;36810;38098;38099;38565;38846	2617;24900;25513;30911;30941;36682;36810;38098;38565;38846	127	246
P00861	P00861	1	1	1	Diaminopimelate decarboxylase	lysA		1	1	1	1	1	1	1	2.6	2.6	2.6	46.177	420	420	0.0052232	10.118	4578.9	5090	3701.7	4928	5702.3	3983.9	4221.4	5113.5	4640.3	4562.2	4329.5	4807.4	3799.5	5054.6	5648.1	4058.2	4379.6	5222.9	4560.8	4414.2	1	1	1	1	1	1	1	1	1	1	4578.9	5090	3701.7	4928	5702.3	3983.9	4221.4	5113.5	4640.3	4562.2	4329.5	4807.4	3799.5	5054.6	5648.1	4058.2	4379.6	5222.9	4560.8	4414.2	1	1	1	1	1	1	1	1	1	1	2.6	16073000	16073000	1				54	19226	True	21927	32532	40663	40663		
P00864	P00864	54	54	54	Phosphoenolpyruvate carboxylase	ppc		1	54	54	54	54	54	54	61.3	61.3	61.3	99.061	883	883	0	323.31	450150	429780	393370	463270	500910	403870	489930	466980	420360	452050	425750	406190	400660	472670	501750	409110	497330	479590	417720	436470	104	104	104	104	104	104	104	104	104	104	450150	429780	393370	463270	500910	403870	489930	466980	420360	452050	425750	406190	400660	472670	501750	409110	497330	479590	417720	436470	104	104	104	104	104	104	104	104	104	104	61.3	15649000000	15649000000	121				55	429;736;851;888;1140;1506;2038;2474;2691;2716;3009;3088;3168;3890;4505;4907;5082;5532;6432;6833;7066;8531;8575;9466;11365;11895;11926;12118;12161;12323;13303;13534;13797;14002;14267;14268;14440;14718;14930;15187;15220;15340;15529;16134;16175;16406;16407;17127;19338;19817;19818;20433;20573;21352	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	477;831;959;1007;1289;1702;2325;2815;3058;3059;3085;3403;3494;3583;3584;4403;5080;5523;5756;6243;7248;7702;7957;9603;9653;10652;12727;12728;13313;13314;13365;13366;13585;13633;13810;15129;15130;15485;15486;15820;16047;16355;16356;16547;16842;17079;17365;17400;17555;17556;17557;17767;17768;18451;18494;18743;18744;19565;19566;22052;22585;22586;23296;23297;23452;24323	781;1280;1498;1559;2005;2656;3585;4407;4767;4768;4803;4804;5299;5300;5473;5474;5611;5612;5613;6831;7857;7858;7859;8489;8848;9509;10935;10936;11594;11595;11952;14451;14533;14534;15984;18861;18862;18863;18864;18865;19622;19623;19730;19731;19732;20015;20080;20308;22444;22445;22446;22447;23010;23011;23012;23611;23918;23919;24378;24379;24659;25014;25346;25347;25767;25812;26032;26033;26034;26035;26036;26331;26332;26333;26334;27350;27408;27409;27410;27763;27764;27765;29011;29012;29013;32705;33482;33483;34512;34513;34514;34515;34715;35972	1008;1619;1620;1915;1989;1990;2555;3381;4556;4557;5634;6075;6076;6122;6123;6124;6744;6745;6746;6956;6957;7142;7143;7144;8636;9928;9929;9930;9931;9932;9933;9934;10730;10731;11198;12000;12001;13778;13779;14627;14628;15085;15086;18246;18367;18368;20192;23700;23701;23702;23703;23704;24610;24611;24612;24613;24760;24761;24762;24763;24764;25116;25193;25472;28125;28126;28127;28128;28831;28832;28833;29619;29620;29990;29991;29992;30545;30546;30547;30899;31347;31759;31760;32291;32350;32617;32618;32619;32620;32621;32622;32981;32982;32983;32984;34276;34341;34342;34343;34344;34345;34346;34347;34783;34784;34785;36319;36320;36321;40864;40865;41876;41877;43099;43100;43101;43102;43103;43346;43347;44955	1008;1619;1915;1989;2555;3381;4556;5634;6076;6122;6746;6957;7142;8636;9931;10730;11198;12001;13779;14627;15085;18246;18367;20192;23700;24610;24764;25116;25193;25472;28128;28832;29619;29990;30545;30547;30899;31347;31760;32291;32350;32618;32984;34276;34341;34784;34785;36319;40864;41876;41877;43099;43346;44955	128;129;130;131;132;133;134;135;136;137;138;139;140;141;142	1;14;151;175;324;536;538;551;616;657;727;753;766;769;879
P00887	P00887	11	11	11	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	aroH		1	11	11	11	11	11	11	31.9	31.9	31.9	38.735	348	348	0	110.95	65433	66369	62998	69450	72708	47311	71631	67468	66297	67103	61908	62714	63693	70765	73190	48789	72820	68916	65642	64747	16	16	16	16	16	16	16	16	16	16	65433	66369	62998	69450	72708	47311	71631	67468	66297	67103	61908	62714	63693	70765	73190	48789	72820	68916	65642	64747	16	16	16	16	16	16	16	16	16	16	31.9	2226000000	2226000000	19				56	1938;4998;8764;8994;9409;10735;15205;18692;18891;20074;21488	True;True;True;True;True;True;True;True;True;True;True	2218;5624;5625;9866;10120;10592;12054;17384;21335;21553;22898;24488	3422;8634;8635;14871;15213;15214;15903;15904;17932;17933;25793;31654;31655;31972;33940;33941;36210	4354;10907;10908;18803;19221;19222;19223;20092;20093;22568;22569;32328;39580;39581;39582;39960;42418;42419;45247	4354;10907;18803;19222;20093;22569;32328;39580;39960;42418;45247	143	174
P00888	P00888	3	2	2	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive	aroF		1	3	2	2	3	2	2	11.8	9.8	9.8	38.804	356	356	0	19.532	2969.9	3110.8	2546.7	3294.1	3826.6	2779.2	4073.7	3277.3	3571.6	3086.8	2808.7	2939.7	2604.8	3362.8	3810.7	2820.8	4121.1	3361.1	3545.4	2982.5	2	2	2	2	2	2	2	2	2	2	2969.9	3110.8	2546.7	3294.1	3826.6	2779.2	4073.7	3277.3	3571.6	3086.8	2808.7	2939.7	2604.8	3362.8	3810.7	2820.8	4121.1	3361.1	3545.4	2982.5	2	2	2	2	2	2	2	2	2	2	11.8	24593000	24593000	2				57	11882;16160;20742	True;True;False	13296;18479;23644	19603;27389;34994;34995	24589;34320;43710;43711	24589;34320;43710		
P00893	P00893	7	7	7	Acetolactate synthase isozyme 3 large subunit	ilvI		1	7	7	7	7	7	7	12.4	12.4	12.4	62.984	574	574	0	60.689	27855	28291	24814	28288	30068	25901	29693	29222	26532	28902	26347	26726	25224	29007	30195	26165	30156	30054	26313	27891	4	4	4	4	4	4	4	4	4	4	27855	28291	24814	28288	30068	25901	29693	29222	26532	28902	26347	26726	25224	29007	30195	26165	30156	30054	26313	27891	4	4	4	4	4	4	4	4	4	4	12.4	111170000	111170000	7				58	1447;3223;9326;12356;18724;21038;21083	True;True;True;True;True;True;True	1635;3641;10504;13845;21367;23971;24023	2547;5686;15782;20350;31696;35463;35546	3240;7236;19941;25528;39628;44317;44425	3240;7236;19941;25528;39628;44317;44425		
P00894	P00894	1	1	1	Acetolactate synthase isozyme 3 small subunit	ilvH		1	1	1	1	1	1	1	9.2	9.2	9.2	17.977	163	163	0.0033333	10.64	125.38	344.46	139.06	283.77	125.25	274.58	256.52	375.69	349.18	156.61	118.69	325.06	139.32	294.92	129.86	277.2	257.35	377.65	340.61	156.16	1	1	1	1	1	1	1	1	1	1	125.38	344.46	139.06	283.77	125.25	274.58	256.52	375.69	349.18	156.61	118.69	325.06	139.32	294.92	129.86	277.2	257.35	377.65	340.61	156.16	1	1	1	1	1	1	1	1	1	1	9.2	17434000	17434000	1				59	9440	True	10625	15944	20140	20140		
P00895	P00895	20	20	20	Anthranilate synthase component 1	trpE		1	20	20	20	20	20	20	41.3	41.3	41.3	57.494	520	520	0	213.84	94474	102490	87955	102310	116880	88427	105370	108780	98452	96545	89372	96818	89273	104840	116740	89692	107620	111240	97436	93426	22	22	22	22	22	22	22	22	22	22	94474	102490	87955	102310	116880	88427	105370	108780	98452	96545	89372	96818	89273	104840	116740	89692	107620	111240	97436	93426	22	22	22	22	22	22	22	22	22	22	41.3	1349300000	1349300000	30				60	337;399;400;804;1030;1560;2460;4941;6271;6355;8791;9615;10815;13422;15116;15117;15479;15747;16962;21630	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	376;445;446;906;1167;1789;1790;2801;5561;5562;7070;7167;9893;10833;12138;15321;17290;17291;17715;17716;18017;19364;24644	626;719;720;1401;1811;2807;2808;4388;8537;8538;10684;10685;10819;14904;16235;18057;22751;25657;25658;26262;26263;26689;28697;28698;36439	809;930;931;1784;2313;3605;3606;5611;10792;10793;13490;13491;13492;13648;18845;18846;20498;20499;22713;22714;28515;32161;32162;32163;32894;32895;33427;35921;35922;45528	809;930;931;1784;2313;3606;5611;10793;13490;13648;18845;20498;22713;28515;32161;32163;32895;33427;35922;45528	144;145;146	234;364;435
P00903	P00903	1	1	1	Aminodeoxychorismate synthase component 2	pabA		1	1	1	1	1	1	1	5.3	5.3	5.3	20.772	187	187	0.0056206	8.446	2812.4	3335.3	3136.9	3208	3506.9	3174.1	3358.7	3157.4	3018.6	3136.5	2662.5	3150	3144.3	3301.1	3534.5	3188.7	3416.7	3262.2	2992.8	3026.4	1	1	1	1	1	1	1	1	1	1	2812.4	3335.3	3136.9	3208	3506.9	3174.1	3358.7	3157.4	3018.6	3136.5	2662.5	3150	3144.3	3301.1	3534.5	3188.7	3416.7	3262.2	2992.8	3026.4	1	1	1	1	1	1	1	1	1	1	5.3	32356000	32356000	1				61	7357	True	8273	12430	15678	15678		
P00904	P00904	11	11	11	Bifunctional protein TrpGD;Anthranilate synthase component 2;Anthranilate phosphoribosyltransferase	trpGD		1	11	11	11	11	11	11	29.4	29.4	29.4	56.869	531	531	0	279.41	51214	50748	41622	51965	54370	43842	52321	56409	45906	49918	48425	47947	42615	53151	54387	44559	53181	57600	45568	48309	10	10	10	10	10	10	10	10	10	10	51214	50748	41622	51965	54370	43842	52321	56409	45906	49918	48425	47947	42615	53151	54387	44559	53181	57600	45568	48309	10	10	10	10	10	10	10	10	10	10	29.4	762630000	762630000	15				62	11102;11449;11728;12863;13919;14764;16739;17549;17550;19113;20398	True;True;True;True;True;True;True;True;True;True;True	12450;12817;13125;14401;15952;16892;19118;20039;20040;21798;23257	18482;18976;18977;19395;21149;23782;25075;28335;29774;29775;32331;34454;34455	23224;23225;23834;23835;24352;26492;29826;31429;35492;37271;37272;40424;40425;43028;43029	23225;23834;24352;26492;29826;31429;35492;37271;37272;40424;43029		
